piano piano piano piano piano piano piano piano drums
p p p p p p p p p
p p p p p p p p p
p p p p p p p p p
p p p p p p p p p
p p p p p p p p g0
p p p p p p p p g0
p p p p p p p p g0
p p p p p p p p g0
p p p p p p p p hd0
p p p p p p p p hd0
p p p p p p p p hd0
p p p p p p p p hd0
p p p p p p p p f0
p p p p p p p p hf0
p p p p p p p p g0
p p p p p p p p hg0
p p p p p p p p a0
p p p p p p p p ha0
p p p p p p p p b0
p p p p p p p p c1
p p p p p p p p hc1
p p p p p p p p d1
p p p p p p p p hd1
p p p p p p p p e1
p p p p p p p p f1
p p p p p p p p hf1
p p p p p p p p g1
p p p p p p p p hg1
p p p p p p p p a1
p p p p p p p p ha1
p p p p p p p p b1
p p p p p p p p c2
p p p p p p p p hc2
p p p p p p p p d2
p p p p p p p p hd2
p p p p p p p p e2
p p p p p p p p f2
p p p p p p p p hf2
p p p p p p p p g2
p p p p p p p p hg2
p p p p p p p p a2
p p p p p p p p ha2
p p p p p p p p b2
p p p p p p p p c3
p p p p p p p p hc3
p p p p p p p p d3
p p p p p p p p hd3
p p p p p p p p e3
p p p p p p p p f3
p p p p p p p p hf3
p p p p p p p p g3
p p p p p p p p hg3
p p p p p p p p a3
p p p p p p p p ha3
p p p p p p p p b3
p p p p p p p p c4
p p p p p p p p c4
p p p p p p p p c4
p p p p p p p p c4
p p p p p p p p hc4
p p p p p p p p d4
p p p p p p p p hd4
p p p p p p p p e4
p p p p p p p p f4
p p p p p p p p hf4
p p p p p p p p g4
p p p p p p p p hg4
p p p p p p p p a4
p p p p p p p p ha4
p p p p p p p p b4
p p p p p p p p c5
p p p p p p p p hc5
p p p p p p p p d5
p p p p p p p p hd5
p p p p p p p p p
p p p p p p p p hd5
p p p p p p p p hd5
p p p p p p p p hd5
end end end end end end end end end
q
