piano piano piano piano piano piano piano piano drums
p p p p p p p p p
p p p p p p p p p
p p p p p p p p p
p p p p p p p p p
p p p p p p p p hd0
p p p p p p p p hd0
p p p p p p p p hd0
p p p p p p p p hd0
p p p p p p p p g0
p p p p p p p p g0
p p p p p p p p g0
p p p p p p p p g0
p p p p p p p p hd0
p p p p p p p p hd0
p p p p p p p p g0
p p p p p p p p g0
p p p p p p p p hd0
p p p p p p p p hd0
p p p p p p p p g0
p p p p p p p p g0
p p p p p p p p hd0
p p p p p p p p hd0
p p p p p p p p g0-
p p p p p p p p hd0
p p p p p p p p hd0
p p p p p p p p g0-
p p p p p p p p hd0
p p p p p p p p hd0
p p p p p p p p g0-
p p p p p p p p g0
p p p p p p p p g0-
p p p p p p p p g0
p p p p p p p p g0-
p p p p p p p p hd0
p p p p p p p p hd0
p p p p p p p p g0
p p p p p p p p g0
end end end end end end end end end
q
